lead_id,age,gender,current_city,current_education,parent_occupation,lead_gen_source,demo_watched_date,language,watched_percentage,reasons_for_not_interested_in_demo,reasons_for_not_interested_to_consider,reasons_for_not_interested_to_convert
USR1050,22,MALE,Visakhapatnam,Looking for Job,Business,website,1/11/2022,English,62.0,,Can't afford,
USR1051,25,FEMALE,Visakhapatnam,Looking for Job,Business,SEO,1/18/2022,English,60.0,,,
USR1052,18,MALE,Visakhapatnam,B.Tech,Business,email_marketing,1/17/2022,English,65.0,,,
USR1053,24,MALE,Visakhapatnam,Looking for Job,Business,SEO,1/19/2022,English,65.0,,,
USR1054,18,MALE,Visakhapatnam,B.Tech,Business,email_marketing,,,,Wants offline classes,,
USR1055,24,FEMALE,Visakhapatnam,Looking for Job,Lawyer,social_media,1/18/2022,English,70.0,,Wants offline classes,
USR1056,21,MALE,Mumbai,Degree,Government Employee,user_referrals,,,,Can't afford,,
USR1057,22,MALE,Chennai,Looking for Job,Government Employee,website,2/23/2022,English,74.0,,,
USR1058,25,MALE,Chennai,B.Tech,Government Employee,SEO,2/20/2022,English,75.0,,Wants offline classes,
USR1059,18,FEMALE,Mumbai,B.Tech,Government Employee,email_marketing,,,,Student not interested in domain,,
USR1060,16,MALE,Mumbai,Intermediate,Government Employee,social_media,,,,No time for student,,
USR1061,20,FEMALE,Bengaluru,B.Tech,Government Employee,email_marketing,,,,Wants offline classes,,
USR1062,20,FEMALE,Kochi,B.Tech,Business,email_marketing,1/7/2022,English,75.0,,,
USR1063,21,FEMALE,Hyderabad,Degree,Business,email_marketing,1/1/2022,English,68.0,,,
USR1064,22,FEMALE,Hyderabad,Looking for Job,Business,social_media,,,,Can't afford,,
USR1065,25,FEMALE,Hyderabad,B.Tech,Business,social_media,1/6/2022,Hindi,40.0,,,Can't afford
USR1066,18,MALE,Kochi,B.Tech,IT Employee,email_marketing,,,,Student not interested in domain,,
USR1067,24,MALE,Kochi,Looking for Job,IT Employee,SEO,1/10/2022,English,85.0,,,Can't afford
USR1068,18,FEMALE,Kochi,B.Tech,IT Employee,SEO,,,,No time for student,,
USR1069,24,MALE,Hyderabad,Looking for Job,IT Employee,social_media,,,,Can't afford,,
USR1070,21,MALE,Bengaluru,Degree,IT Employee,user_referrals,1/11/2022,English,71.0,,Can't afford,
USR1071,22,MALE,Visakhapatnam,Looking for Job,IT Employee,website,1/18/2022,Hindi,86.0,,,Can't afford
USR1072,25,FEMALE,Mumbai,Intermediate Completed,IT Employee,SEO,1/17/2022,Hindi,87.0,,,
USR1073,18,MALE,Chennai,B.Tech,IT Employee,email_marketing,1/19/2022,English,88.0,,,
USR1074,25,MALE,Kochi,Intermediate Completed,IT Employee,social_media,,,,Wants offline classes,,
USR1075,18,MALE,Bengaluru,B.Tech,IT Employee,user_referrals,1/18/2022,English,44.0,,Student not interested in domain,
USR1076,24,FEMALE,Visakhapatnam,Looking for Job,Government Employee,website,,,,Wants offline classes,,
USR1077,18,MALE,Mumbai,B.Tech,Business,SEO,2/21/2022,English,100.0,,,Can't afford
USR1078,24,FEMALE,Chennai,Looking for Job,Lawyer,email_marketing,2/22/2022,English,89.0,,Can't afford,
USR1079,21,FEMALE,Kochi,Degree,IT Employee,social_media,,,,Wants offline classes,,
USR1080,22,FEMALE,Hyderabad,Looking for Job,Government Employee,user_referrals,,,,Wants offline classes,,
USR1081,25,MALE,Hyderabad,Intermediate Completed,Doctor,website,,,,Wants offline classes,,
USR1082,18,MALE,Hyderabad,B.Tech,Professor/Faculty,SEO,1/5/2022,English,2.0,,,Will join in final year
USR1083,16,MALE,Hyderabad,Intermediate,Business,email_marketing,1/8/2022,English,90.0,,Wants offline classes,
USR1084,20,MALE,Hyderabad,B.Tech,Lawyer,SEO,,,,Can't afford,,
USR1085,20,MALE,Hyderabad,B.Tech,IT Employee,email_marketing,,,,Student not interested in domain,,
USR1086,21,MALE,Hyderabad,Degree,Private Employee,social_media,,,,No time for student,,
USR1087,22,MALE,Mumbai,Looking for Job,Business,user_referrals,1/10/2022,English,74.0,,,Will join in final year
USR1088,25,MALE,Chennai,Intermediate Completed,Lawyer,website,,,,Wants offline classes,,
USR1089,18,MALE,Mumbai,B.Tech,IT Employee,SEO,,,,Student not interested in domain,,
USR1090,24,MALE,Chennai,Looking for Job,Government Employee,email_marketing,1/11/2022,English,91.0,,Wants offline classes,
USR1091,18,FEMALE,Kochi,B.Tech,Government Employee,website,1/20/2022,English,92.0,,,Will join in final year
USR1092,24,FEMALE,Bengaluru,Looking for Job,Government Employee,website,1/21/2022,English,77.0,,,
USR1093,21,FEMALE,Visakhapatnam,Degree,Government Employee,website,1/26/2022,Telugu,80.0,,,
USR1094,22,FEMALE,Mumbai,Looking for Job,Government Employee,website,,,,Wants offline classes,,
USR1095,20,FEMALE,Chennai,B.Tech,Government Employee,website,1/18/2022,Hindi,62.0,,Can't afford,
USR1096,20,FEMALE,Kochi,B.Tech,Government Employee,website,,,,No time for student,,
USR1097,16,FEMALE,Visakhapatnam,Intermediate,Government Employee,website,2/23/2022,English,63.0,,,Will join in final year
USR1098,16,FEMALE,Visakhapatnam,Intermediate,Government Employee,website,2/25/2022,English,81.0,,Student not interested in domain,
USR1099,20,FEMALE,Visakhapatnam,B.Tech,Business,website,,,,Wants offline classes,,
USR1100,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,website,,,,Can't afford,,
USR1101,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,,,,Student not interested in domain,,
USR1102,20,MALE,Bengaluru,B.Tech,Business,user_referrals,1/5/2022,English,83.0,,,
USR1103,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,1/1/2022,Telugu,41.0,,,
USR1104,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,,,,No time for student,,
USR1105,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,1/6/2022,Hindi,86.0,,,Will join in final year
USR1106,16,MALE,Kochi,Intermediate,Doctor,user_referrals,,,,Wants offline classes,,
USR1107,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,1/10/2022,English,25.0,,,Will join in final year
USR1108,20,MALE,Hyderabad,B.Tech,Business,website,,,,Can't afford,,
USR1109,20,MALE,Hyderabad,B.Tech,Lawyer,website,,,,Student not interested in domain,,
USR1110,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,1/13/2022,English,2.0,,No time for student,
USR1111,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,1/19/2022,Telugu,3.0,,,Will join in final year
USR1112,20,FEMALE,Visakhapatnam,B.Tech,Business,social_media,1/17/2022,Telugu,4.0,,,
USR1113,21,FEMALE,Visakhapatnam,Degree,Lawyer,SEO,1/19/2022,Telugu,30.0,,,
USR1114,22,MALE,Mumbai,Looking for Job,IT Employee,SEO,,,,Wants offline classes,,
USR1115,25,FEMALE,Chennai,10th Completed,Government Employee,SEO,1/18/2022,Telugu,35.0,,Can't afford,
USR1116,18,MALE,Chennai,B.Tech,Business,SEO,,,,,,
USR1117,24,MALE,Mumbai,Looking for Job,Lawyer,social_media,2/23/2022,Telugu,35.0,,,No time for student
USR1118,21,MALE,Mumbai,Degree,IT Employee,email_marketing,2/21/2022,Telugu,8.0,,Wants offline classes,
USR1119,22,FEMALE,Bengaluru,Looking for Job,Government Employee,email_marketing,,,,Can't afford,,
USR1120,25,MALE,Kochi,10th Completed,Doctor,email_marketing,,,,Wants offline classes,,
USR1121,18,FEMALE,Hyderabad,B.Tech,Professor/Faculty,email_marketing,,,,No time for student,,
USR1122,24,FEMALE,Hyderabad,Looking for Job,Business,email_marketing,1/4/2022,Telugu,11.0,,,No time for student
USR1123,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,1/3/2022,Hindi,40.0,,Can't afford,
USR1124,22,FEMALE,Kochi,Looking for Job,IT Employee,social_media,,,,Can't afford,,
USR1125,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,,,,Can't afford,,
USR1126,18,MALE,Kochi,B.Tech,Business,SEO,,,,Student not interested in domain,,
USR1127,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,1/12/2022,English,14.0,,,No time for student
USR1128,18,FEMALE,Hyderabad,B.Tech,IT Employee,user_referrals,,,,No time for student,,
USR1129,24,FEMALE,Hyderabad,Looking for Job,Government Employee,social_media,,,,Can't afford,,
USR1130,21,FEMALE,Kochi,Degree,Government Employee,email_marketing,1/18/2022,Hindi,17.0,,Student not interested in domain,
USR1131,22,FEMALE,Bengaluru,Looking for Job,Government Employee,email_marketing,1/17/2022,English,45.0,,,No time for student
USR1132,25,MALE,Bengaluru,Looking for Job,Government Employee,email_marketing,1/16/2022,English,20.0,,,
USR1133,18,FEMALE,Bengaluru,B.Tech,Government Employee,social_media,1/18/2022,English,64.0,,,
USR1134,16,MALE,Bengaluru,Intermediate,Government Employee,social_media,,,,Wants offline classes,,
USR1135,20,MALE,Visakhapatnam,B.Tech,Government Employee,email_marketing,1/17/2022,Telugu,65.0,,No time for student,
USR1136,20,MALE,Visakhapatnam,B.Tech,Government Employee,SEO,,,,Can't afford,,
USR1137,21,FEMALE,Kochi,Degree,Government Employee,SEO,2/22/2022,Hindi,23.0,,,No time for student
USR1138,22,MALE,Hyderabad,Looking for Job,Government Employee,social_media,,,,,Wants offline classes,
USR1139,25,FEMALE,Bengaluru,Looking for Job,Government Employee,user_referrals,,,,Can't afford,,
USR1140,18,FEMALE,Visakhapatnam,B.Tech,Government Employee,website,,,,Student not interested in domain,,
USR1141,24,FEMALE,Mumbai,Looking for Job,Government Employee,SEO,,,,Can't afford,,
USR1142,18,FEMALE,Chennai,B.Tech,Government Employee,email_marketing,1/6/2022,English,26.0,,,
USR1143,24,FEMALE,Kochi,Looking for Job,IT Employee,social_media,1/1/2022,Telugu,55.0,,,
USR1144,21,MALE,Bengaluru,Degree,Government Employee,user_referrals,,,,No time for student,,
USR1145,22,FEMALE,Visakhapatnam,Looking for Job,Business,website,1/5/2022,Telugu,60.0,,,Can't afford
USR1146,25,FEMALE,Mumbai,Looking for Job,Lawyer,SEO,,,,Can't afford,,
USR1147,18,FEMALE,Chennai,B.Tech,IT Employee,email_marketing,1/9/2022,Telugu,29.0,,,Can't afford
USR1148,16,FEMALE,Kochi,Intermediate,Business,social_media,,,,Wants offline classes,,
USR1149,20,FEMALE,Hyderabad,B.Tech,Business,user_referrals,,,,Can't afford,,
USR1150,22,MALE,Hyderabad,Looking for Job,Business,website,1/13/2022,Telugu,70.0,,Can't afford,
USR1151,25,FEMALE,Bengaluru,Looking for Job,Business,SEO,1/18/2022,Telugu,37.0,,,Can't afford
USR1152,18,MALE,Bengaluru,B.Tech,Business,email_marketing,1/16/2022,English,66.0,,,
USR1153,24,MALE,Bengaluru,Looking for Job,Business,SEO,1/20/2022,Telugu,67.0,,,
USR1154,18,MALE,Bengaluru,B.Tech,Business,email_marketing,,,,Student not interested in domain,,
USR1155,24,FEMALE,Bengaluru,Looking for Job,Lawyer,social_media,1/17/2022,Hindi,41.0,,Wants offline classes,
USR1156,21,MALE,Mumbai,Degree,Government Employee,user_referrals,,,,No time for student,,
USR1157,22,MALE,Chennai,Looking for Job,Government Employee,website,2/22/2022,English,68.0,,,Can't afford
USR1158,25,MALE,Chennai,B.Tech,Government Employee,SEO,2/20/2022,English,45.0,,Wants offline classes,
USR1159,18,FEMALE,Mumbai,B.Tech,Government Employee,user_referrals,,,,Student not interested in domain,,
USR1160,16,MALE,Mumbai,Intermediate,Government Employee,user_referrals,,,,No time for student,,
USR1161,20,FEMALE,Bengaluru,B.Tech,Government Employee,user_referrals,,,,Wants offline classes,,
USR1162,20,FEMALE,Kochi,B.Tech,Business,user_referrals,1/6/2022,Telugu,49.0,,,Can't afford
USR1163,21,FEMALE,Hyderabad,Degree,Business,user_referrals,1/8/2022,Telugu,53.0,,Can't afford,
USR1164,22,FEMALE,Hyderabad,Looking for Job,Business,social_media,,,,Can't afford,,
USR1165,25,FEMALE,Hyderabad,B.Tech,Business,social_media,,,,Can't afford,,
USR1166,18,MALE,Kochi,B.Tech,IT Employee,email_marketing,,,,Student not interested in domain,,
USR1167,24,MALE,Kochi,Looking for Job,IT Employee,SEO,1/10/2022,Telugu,57.0,,,Can't afford
USR1168,18,FEMALE,Kochi,B.Tech,IT Employee,SEO,,,,No time for student,,
USR1169,24,MALE,Hyderabad,Looking for Job,IT Employee,social_media,,,,Can't afford,,
USR1170,21,MALE,Bengaluru,Degree,IT Employee,user_referrals,1/12/2022,Telugu,65.0,,Student not interested in domain,
USR1171,22,MALE,Visakhapatnam,Looking for Job,IT Employee,website,1/18/2022,Telugu,70.0,,,Can't afford
USR1172,25,FEMALE,Mumbai,Intermediate Completed,IT Employee,SEO,1/20/2022,Telugu,69.0,,,
USR1173,18,MALE,Chennai,B.Tech,IT Employee,email_marketing,1/19/2022,Telugu,70.0,,,
USR1174,25,MALE,Kochi,Intermediate Completed,IT Employee,social_media,,,,Wants offline classes,,
USR1175,18,MALE,Bengaluru,B.Tech,IT Employee,user_referrals,1/17/2022,Hindi,61.0,,Wants offline classes,
USR1176,24,FEMALE,Visakhapatnam,Looking for Job,Government Employee,website,,,,Wants offline classes,,
USR1177,18,MALE,Mumbai,B.Tech,Business,SEO,2/23/2022,English,65.0,,,Can't afford
USR1178,24,FEMALE,Chennai,Looking for Job,Lawyer,email_marketing,2/25/2022,Hindi,35.0,,Can't afford,
USR1179,21,FEMALE,Kochi,Degree,IT Employee,social_media,,,,Wants offline classes,,
USR1180,22,FEMALE,Visakhapatnam,Looking for Job,Government Employee,user_referrals,,,,Wants offline classes,,
USR1181,25,MALE,Visakhapatnam,Intermediate Completed,Doctor,website,,,,Wants offline classes,,
USR1182,18,MALE,Visakhapatnam,B.Tech,Professor/Faculty,SEO,1/6/2022,Hindi,60.0,,,
USR1183,16,MALE,Visakhapatnam,Intermediate,Business,email_marketing,1/3/2022,English,70.0,,,
USR1184,20,MALE,Visakhapatnam,B.Tech,Lawyer,SEO,,,,Can't afford,,
USR1185,20,MALE,Visakhapatnam,B.Tech,IT Employee,email_marketing,1/5/2022,English,75.0,,,Student not interested in domain
USR1186,21,MALE,Visakhapatnam,Degree,Private Employee,social_media,,,,No time for student,,
USR1187,22,MALE,Mumbai,Looking for Job,Business,user_referrals,1/10/2022,Telugu,80.0,,,Student not interested in domain
USR1188,25,MALE,Chennai,Intermediate Completed,Lawyer,website,,,,Wants offline classes,,
USR1189,18,MALE,Mumbai,B.Tech,IT Employee,SEO,,,,Student not interested in domain,,
USR1190,24,MALE,Chennai,Looking for Job,Government Employee,email_marketing,1/11/2022,Telugu,85.0,,Can't afford,
USR1191,18,FEMALE,Kochi,B.Tech,Government Employee,SEO,1/17/2022,Telugu,85.0,,,Student not interested in domain
USR1192,24,FEMALE,Bengaluru,Looking for Job,Government Employee,social_media,1/17/2022,English,90.0,,,
USR1193,21,FEMALE,Visakhapatnam,Degree,Government Employee,social_media,1/20/2022,English,95.0,,,
USR1194,22,FEMALE,Mumbai,Looking for Job,Government Employee,social_media,,,,Wants offline classes,,
USR1195,20,FEMALE,Chennai,B.Tech,Government Employee,social_media,1/17/2022,English,100.0,,Can't afford,
USR1196,20,FEMALE,Kochi,B.Tech,Government Employee,social_media,,,,No time for student,,
USR1197,16,FEMALE,Visakhapatnam,Intermediate,Government Employee,social_media,2/22/2022,Telugu,90.0,,,Student not interested in domain
USR1198,16,FEMALE,Visakhapatnam,Intermediate,Government Employee,social_media,2/21/2022,Telugu,11.0,,Can't afford,
USR1199,20,FEMALE,Visakhapatnam,B.Tech,Business,social_media,,,,Wants offline classes,,
USR1200,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,social_media,,,,Can't afford,,
USR1201,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,,,,Student not interested in domain,,
USR1202,20,MALE,Bengaluru,B.Tech,Business,user_referrals,1/3/2022,Telugu,15.0,,,Student not interested in domain
USR1203,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,1/3/2022,English,12.0,,Student not interested in domain,
USR1204,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,,,,Wants offline classes,,
USR1205,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,,,,Can't afford,,
USR1206,16,MALE,Kochi,Intermediate,Doctor,user_referrals,,,,Student not interested in domain,,
USR1207,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,1/12/2022,English,13.0,,,Student not interested in domain
USR1208,20,MALE,Hyderabad,B.Tech,Business,website,,,,No time for student,,
USR1209,20,MALE,Hyderabad,B.Tech,Lawyer,website,,,,Wants offline classes,,
USR1210,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,1/16/2022,English,71.0,,Student not interested in domain,
USR1211,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,1/26/2022,English,72.0,,,Student not interested in domain
USR1212,20,FEMALE,Hyderabad,B.Tech,Business,social_media,1/26/2022,English,19.0,,,
USR1213,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,,,,,,
USR1214,22,MALE,Mumbai,Looking for Job,IT Employee,SEO,,,,Can't afford,,
USR1215,25,FEMALE,Chennai,10th Completed,Government Employee,SEO,1/17/2022,Telugu,27.0,,Can't afford,
USR1216,18,MALE,Chennai,B.Tech,Business,SEO,,,,Can't afford,,
USR1217,24,MALE,Mumbai,Looking for Job,Lawyer,social_media,2/22/2022,English,14.0,,,Student not interested in domain
USR1218,21,MALE,Mumbai,Degree,IT Employee,website,2/21/2022,Telugu,85.0,,Wants offline classes,
USR1219,22,FEMALE,Bengaluru,Looking for Job,Government Employee,website,,,,Wants offline classes,,
USR1220,25,MALE,Kochi,10th Completed,Doctor,website,,,,Can't afford,,
USR1221,18,FEMALE,Hyderabad,B.Tech,Professor/Faculty,website,,,,Student not interested in domain,,
USR1222,24,FEMALE,Hyderabad,Looking for Job,Business,website,1/6/2022,English,25.0,,,
USR1223,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,1/3/2022,Telugu,23.0,,,
USR1224,22,FEMALE,Kochi,Looking for Job,IT Employee,social_media,,,,Can't afford,,
USR1225,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,1/5/2022,Hindi,21.0,,,Can't afford
USR1226,18,MALE,Kochi,B.Tech,Business,SEO,,,,No time for student,,
USR1227,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,1/9/2022,English,73.0,,,Can't afford
USR1228,18,FEMALE,Hyderabad,B.Tech,IT Employee,user_referrals,,,,Student not interested in domain,,
USR1229,24,FEMALE,Hyderabad,Looking for Job,Government Employee,social_media,,,,Can't afford,,
USR1230,21,FEMALE,Kochi,Degree,Government Employee,email_marketing,1/11/2022,English,74.0,,Can't afford,
USR1231,22,FEMALE,Bengaluru,Looking for Job,Government Employee,email_marketing,1/19/2022,English,19.0,,,Can't afford
USR1232,25,MALE,Bengaluru,Looking for Job,Government Employee,email_marketing,1/20/2022,Telugu,75.0,,,
USR1233,18,FEMALE,Bengaluru,B.Tech,Government Employee,social_media,1/22/2022,English,17.0,,,
USR1234,16,MALE,Bengaluru,Intermediate,Government Employee,social_media,,,,No time for student,,
USR1235,20,MALE,Visakhapatnam,B.Tech,Government Employee,email_marketing,1/18/2022,English,80.0,,Student not interested in domain,
USR1236,20,MALE,Visakhapatnam,B.Tech,Government Employee,SEO,,,,Wants offline classes,,
USR1237,21,FEMALE,Kochi,Degree,Government Employee,SEO,2/21/2022,English,80.0,,,Can't afford
USR1238,22,MALE,Hyderabad,Looking for Job,Government Employee,social_media,2/22/2022,Telugu,80.0,,Can't afford,
USR1239,25,FEMALE,Bengaluru,Looking for Job,Government Employee,user_referrals,,,,Can't afford,,
USR1240,18,FEMALE,Visakhapatnam,B.Tech,Government Employee,website,,,,Can't afford,,
USR1241,24,FEMALE,Mumbai,Looking for Job,Government Employee,SEO,,,,Can't afford,,
USR1242,18,FEMALE,Chennai,B.Tech,Government Employee,email_marketing,1/3/2022,Telugu,16.0,,,Can't afford
USR1243,24,FEMALE,Kochi,Looking for Job,IT Employee,social_media,1/4/2022,Telugu,17.0,,Can't afford,
USR1244,21,MALE,Bengaluru,Degree,Government Employee,user_referrals,,,,Student not interested in domain,,
USR1245,22,FEMALE,Visakhapatnam,Looking for Job,Business,website,,,,Can't afford,,
USR1246,25,FEMALE,Mumbai,Looking for Job,Lawyer,SEO,,,,Can't afford,,
USR1247,18,FEMALE,Chennai,B.Tech,IT Employee,email_marketing,1/10/2022,Telugu,76.0,,,Can't afford
USR1248,16,FEMALE,Kochi,Intermediate,Business,social_media,,,,Wants offline classes,,
USR1249,20,FEMALE,Visakhapatnam,B.Tech,Business,user_referrals,,,,Can't afford,,
USR1250,22,MALE,Visakhapatnam,Looking for Job,Business,website,1/11/2022,Telugu,77.0,,Can't afford,
USR1251,25,FEMALE,Visakhapatnam,Looking for Job,Business,SEO,1/17/2022,Telugu,80.0,,,Student not interested in domain
USR1252,18,MALE,Visakhapatnam,B.Tech,Business,email_marketing,1/17/2022,Telugu,18.0,,,
USR1253,24,MALE,Visakhapatnam,Looking for Job,Business,SEO,1/19/2022,English,80.0,,,
USR1254,18,MALE,Bengaluru,B.Tech,Business,email_marketing,,,,Student not interested in domain,,
USR1255,24,FEMALE,Bengaluru,Looking for Job,Lawyer,social_media,1/18/2022,English,80.0,,Wants offline classes,
USR1256,21,MALE,Mumbai,Degree,Government Employee,user_referrals,,,,No time for student,,
USR1257,22,MALE,Chennai,Looking for Job,Government Employee,website,2/25/2022,English,19.0,,,Student not interested in domain
USR1258,25,MALE,Chennai,B.Tech,Government Employee,SEO,2/26/2022,English,80.0,,Wants offline classes,
USR1259,18,FEMALE,Mumbai,B.Tech,Government Employee,email_marketing,,,,Wants offline classes,,
USR1260,16,MALE,Mumbai,Intermediate,Government Employee,social_media,,,,Can't afford,,
USR1261,20,FEMALE,Bengaluru,B.Tech,Government Employee,email_marketing,,,,Student not interested in domain,,
USR1262,20,FEMALE,Kochi,B.Tech,Business,email_marketing,1/7/2022,English,80.0,,,
USR1263,21,FEMALE,Hyderabad,Degree,Business,email_marketing,1/9/2022,English,80.0,,,
USR1264,22,FEMALE,Hyderabad,Looking for Job,Business,social_media,,,,Wants offline classes,,
